Provider ID,FRN,holding_company
130906,2593986,"Nuvera Communications, Inc."
130983,2594067,Oran Mutual Telephone Company
130321,2594125,"Communications 1 Network, Inc."
130877,2594190,Mutual Telephone Company (IA)
130805,2594216,MTC Technologies
130782,2594752,Marne & Elk Horn Telephone Company
130969,2594778,Ogden Telephone Company
130938,2594893,Northeast Iowa Telephone Company
130756,2594976,Lone Rock Cooperative Telephone Company
130045,2595106,"Alpine Communications, LLC"
130419,2595452,Dumont Telephone Company
130596,2595734,Hawkeye Telephone Company
130877,2595858,Mutual Telephone Company (IA)
131494,2595874,Winnebago Cooperative Telecom Association
130495,2596195,Fenton Cooperative Telephone Company
130485,2596344,Farmers Mutual Telephone Cooperative of Shellsburg
130483,2596377,Farmers Mutual Telephone Company-Jesup
131171,2598076,Scranton Telephone Company
130290,2598209,Clear Lake Independent Telephone Company
130677,2598225,Jefferson Telephone Company
130179,2598407,Butler-Bremer Mutual Telephone Company
130169,2598464,Brooklyn Mutual Telecommunications Cooperative
340004,2598779,Allamakee-Clayton Electric Cooperative Inc.
130821,2621951,Midcontinent Communications
130906,2623635,"Nuvera Communications, Inc."
130008,2626984,Ace Telephone Association
130885,2638641,North Dakota Telephone Company
130074,2644284,"Arvig Enterprises, Inc."
131014,2644953,Paul Bunyan Rural Telephone Cooperative
130115,2645497,Benton Cooperative Telephone Company
131460,2645612,West Central Telephone Assn.
130074,2645729,"Arvig Enterprises, Inc."
130031,2645778,Albany Mutual Telephone Association
130008,2645927,Ace Telephone Association
130074,2647287,"Arvig Enterprises, Inc."
130074,2647857,"Arvig Enterprises, Inc."
130906,2648285,"Nuvera Communications, Inc."
131009,2650422,Park Region Mutual Telephone Company
130074,2650828,"Arvig Enterprises, Inc."
130906,2652048,"Nuvera Communications, Inc."
130526,2652519,Garden Valley Telephone Company
470029,2652741,Federated Rural Electric Association
130919,2707875,Wittenberg Telephone Company
131427,2713626,"Vernon Telephone Cooperative, Inc."
130239,2713683,"Chequamegon Communications Cooperative, Inc."
130077,2716561,AT&T Inc.
130058,2717031,Amherst Telephone Company
130862,2719045,Mount Horeb Telephone Company
130291,2719458,"Clear Lake Telephone Company, Inc."
130057,2720977,"Amery Telcom, Inc."
130726,2721157,"LaValle Telephone Cooperative, Inc."
130613,2721629,"Hillsboro Telephone Company, Inc."
131467,2722049,"West Wisconsin Telcom Cooperative, Inc."
130138,2723336,Bloomer Telephone Company
130093,2723534,"Baldwin Telecom, Inc."
130058,2723732,Amherst Telephone Company
130057,2723773,"Amery Telcom, Inc."
370050,2733897,Holland Board of Public Works
190096,2733921,Coldwater Board of Public Utilities
440121,2735751,"Board of Trustees, Northern Michigan University"
130018,2751881,"Agri-Valley Communications, Inc."
130008,2756187,Ace Telephone Association
130097,2771228,Barry County Services Company
130385,2771244,"D & P Communications, Inc."
130607,2776599,"Hiawatha Communications, Inc."
130077,2776771,AT&T Inc.
131123,2801256,Robinson Communications Corporation
410161,2813848,Graymont Cooperative Assn.
131180,2816411,"Shawnee Communications, Inc."
130799,2817500,McDonough Telephone Cooperative Inc.
130444,2817823,Egyptian Telephone Cooperative Association
130819,2818177,Mid Century Telephone Co-operative
350088,2821221,Shelby Electric Cooperative Inc.
300074,2860468,Jo-Carroll Electric Cooperative Inc.
130077,2860856,AT&T Inc.
270023,2871754,"City of Richmond, Indiana"
130569,2884963,"Great Plains Communications, Inc."
131225,2898724,Southeastern Indiana Rural Telephone Cooperative
131078,2898856,"Pulaski White Rural Telephone Cooperative, Inc."
130586,2899060,Hancock Rural Telephone Corporation
131286,2901791,"Sweetser Rural Telephone Company, Inc."
131285,2901817,Fiberhawk
130569,2901833,"Great Plains Communications, Inc."
450151,2901957,Southeastern Indiana Rural Electric Membership Corporation
130905,2902955,"New Paris Telephone Company, Inc."
130853,2903045,Monon Telephone Company Inc.
460050,2903839,LaGrange County Rural Membership Corporation
130077,2904654,AT&T Inc.
131342,2922201,The Ottoville Mutual Telephone Company
150266,2924751,"Hanson Communications, Inc."
131290,2924777,Sycamore Telephone Company
131329,2926582,The Champaign Telephone Company
130116,2930980,Benton Ridge Telephone Company
190071,2934974,Cable Co-Op
130077,2946986,AT&T Inc.
130316,3020146,"Combined Technologies, Inc."
440152,3188133,"Mobile Communication Service, Inc."
480114,3189172,Youngsville Television Corporation
131362,3193000,"Townes Telecommunications, Inc."
130609,3194776,"Hickory Utility Services, Inc."
131026,3219227,"Pencor Services, Inc."
131026,3222213,"Pencor Services, Inc."
131425,3271798,Verizon Communications Inc.
330025,3271871,Uniti Group Inc.
131425,3273505,Verizon Communications Inc.
131425,3316692,Verizon Communications Inc.
310000,3414224,Brick Skirt Holdings
130780,3433323,"Margaretville Telephone Company, Inc."
131339,3435633,The Middleburgh Telephone Company
131337,3436367,The Hancock Telephone Company
131425,3469442,Verizon Communications Inc.
130741,3473709,Liberty Latin America Ltd.
130183,3474327,"Cable One, Inc."
130370,3510195,Altice USA
131425,3628971,Verizon Communications Inc.
460632,3645843,"VTel Wireless, Inc."
131517,3666708,Granite State Communications
130887,3707767,"Nedelco, Inc."
130242,3707775,"TruVista Communications, Inc."
130887,3708013,"Nedelco, Inc."
130734,3708104,Lennon Telephone Company
130921,3708120,NITCO Holding Corporation
131074,3708203,"Progressive Voice & Data, Inc."
131074,3708237,"Progressive Voice & Data, Inc."
330025,3708575,Uniti Group Inc.
131152,3709458,Salina Spavinaw Telephone Company Inc.
130673,3709888,James Valley Cooperative Telephone Company
130545,3710100,Glenwood Telephone Company
390138,3710597,"Egyptian Communication Services, Inc."
130877,3713963,Mutual Telephone Company (IA)
130032,3714805,"Albion Telephone Company, Inc."
130603,3715877,Henderson Cooperative Telephone Company
131023,3715885,"Pembroke Telephone Company, Inc."
240063,3715968,Murray Electric System
131476,3716164,"Wes-Tex Telephone Cooperative, Inc."
130206,3716255,Day Management Corporation
130206,3716263,Day Management Corporation
131125,3717709,"Comporium, Inc."
131125,3717725,"Comporium, Inc."
131261,3717949,Stelle Telephone Company
131486,3718426,Wilkes Telephone Membership Corporation
131186,3719929,Sierra Tel Communications Group
130535,3720968,"Geneseo Communications, Inc."
130192,3720984,"Cambridge TelCom, Inc."
130192,3720992,"Cambridge TelCom, Inc."
130604,3721008,"Henry County Communications, Inc."
130802,3721495,"McNabb Communications, Inc."
130488,3722113,Farmers Telephone Company-Batavia
160127,3722121,LICT Corporation
130374,3722188,Cumberland Telephone Company
